,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
4757,jovanovic,../inputs/case2869pegase.graphml,2869,3968,869,16,16202,31691,4,612.0,612,0.0,Optimal,1,2740403,0,0,0
4758,forts,../inputs/case_south_carolina500.graphml,500,584,211,15,1668,500,4,75.0,75,0.0,Optimal,14,45139,14,23963,630
4759,jovanovic,../inputs/case5.graphml,5,6,0,1,22,32,3,5.0,5,0.0,Optimal,0,281,0,0,0
4760,brimkov,../inputs/case9241pegase.graphml,9241,14207,2902,40,54546,45832,0,2010.0,2010,0.0,Optimal,1,5528052,0,0,0
4761,cycles,../inputs/case_iceland118.graphml,189,203,110,5,869,378,1,41.0,41,0.0,Optimal,16,40690,21,2364,232
4762,brimkov,../inputs/case9241pegase.graphml,9241,14207,2902,24,54546,45832,4,2010.0,2010,0.0,Optimal,1,6204966,0,0,0
4763,forts,../inputs/case2383wp.graphml,2383,2886,552,5,8155,2383,4,605.0,605,0.0,Optimal,1608,2308226,72,452342,5790
4764,forts,../inputs/case2746wp.graphml,2746,3274,704,6,9294,2746,0,687.0,687,0.0,Optimal,1976,1604658,32,426350,5828
4765,cycles,../inputs/case1354pegase.graphml,1354,1710,422,1,5915,2708,3,969.0,969,0.0,Optimal,1588,783352,43,35718,2763
4766,brimkov,../inputs/case1951rte.graphml,1951,2375,651,3,10803,13715,1,616.0,616,0.0,Optimal,1505,9834013,0,0,0
4767,cycles,../inputs/case9.graphml,9,9,4,4,37,18,3,2.0,2,0.0,Optimal,1,700,4,66,9
4768,cycles,../inputs/case2383wp.graphml,2383,2886,552,5,9861,4766,2,605.0,605,0.0,Optimal,1705,2612170,50,67470,1760
4769,brimkov,../inputs/case2746wp.graphml,2746,3274,704,9,14051,12571,1,684.0,684,0.0,Optimal,1,1092257,0,0,0
4770,jovanovic,../inputs/case11_iwamoto.graphml,11,11,6,3,59,125,2,2.0,2,0.0,Optimal,1,2687,0,0,0
